	α: 0.1, ε: 0.1, γ: 0.8
0	3.38
1	2.4
2	2.46
3	8.28
4	3.13
5	2.66
6	22.87
7	7.61
8	12.64
9	13.03
10	3.27
11	-1.82
12	2.53
13	12.24
14	4.08
15	7.41
16	18.0
17	2.65
18	2.81
19	17.58
